,NTACode,yearMonth,citibike_arrivals
236,BK68,201704,20017
237,BK68,201705,22752
238,BK68,201706,26986
239,BK68,201707,27414
240,BK68,201708,54096
241,BK68,201709,28747
242,BK68,201710,29700
243,BK68,201711,22145
244,BK68,201712,15854
245,BK68,201801,13470
246,BK68,201802,15268
247,BK68,201803,16890
248,BK69,201601,3438
249,BK69,201602,3712
250,BK69,201603,6388
251,BK69,201604,7469
252,BK69,201605,8563
253,BK69,201606,10976
254,BK69,201607,10085
255,BK69,201608,11051
256,BK69,201609,12370
257,BK69,201610,11199
258,BK69,201611,8300
259,BK69,201612,5531
260,BK69,201701,5076
261,BK69,201702,5977
262,BK69,201703,5729
263,BK69,201704,10568
264,BK69,201705,11952
265,BK69,201706,14315
266,BK69,201707,15282
267,BK69,201708,30397
268,BK69,201709,16121
269,BK69,201710,14411
270,BK69,201711,9894
271,BK69,201712,6726
272,BK69,201801,5499
273,BK69,201802,6393
274,BK69,201803,7578
275,BK72,201601,300
276,BK72,201602,309
277,BK72,201603,576
278,BK72,201604,718
279,BK72,201605,919
280,BK72,201606,1112
281,BK72,201607,1129
282,BK72,201608,1366
283,BK72,201609,1217
284,BK72,201610,1081
285,BK72,201611,787
286,BK72,201612,485
287,BK72,201701,436
288,BK72,201702,400
289,BK72,201703,454
290,BK72,201704,1003
291,BK72,201705,1292
292,BK72,201706,1308
293,BK72,201707,1463
294,BK72,201708,2932
295,BK72,201709,1579
296,BK72,201710,1475
297,BK72,201711,949
298,BK72,201712,584
299,BK72,201801,502
300,BK72,201802,526
301,BK72,201803,653
302,BK73,201601,12127
303,BK73,201602,13494
304,BK73,201603,24109
305,BK73,201604,29279
306,BK73,201605,36307
307,BK73,201606,46329
308,BK73,201607,44843
309,BK73,201608,49100
310,BK73,201609,50509
311,BK73,201610,44421
312,BK73,201611,33325
313,BK73,201612,20156
314,BK73,201701,18311
315,BK73,201702,21765
316,BK73,201703,18932
317,BK73,201704,41964
318,BK73,201705,47568
319,BK73,201706,57595
320,BK73,201707,59558
321,BK73,201708,120054
322,BK73,201709,61750
323,BK73,201710,58595
324,BK73,201711,37706
325,BK73,201712,22976
326,BK73,201801,19197
327,BK73,201802,22271
328,BK73,201803,27414
329,BK75,201601,3278
330,BK75,201602,3349
331,BK75,201603,5174
332,BK75,201604,6017
333,BK75,201605,7618
334,BK75,201606,9787
335,BK75,201607,9662
336,BK75,201608,11121
337,BK75,201609,11492
338,BK75,201610,10377
339,BK75,201611,8173
340,BK75,201612,5601
341,BK75,201701,4875
342,BK75,201702,5559
343,BK75,201703,5473
344,BK75,201704,9889
345,BK75,201705,11683
346,BK75,201706,13860
347,BK75,201707,15356
348,BK75,201708,31444
349,BK75,201709,15629
350,BK75,201710,14526
351,BK75,201711,9854
352,BK75,201712,6304
353,BK75,201801,5428
354,BK75,201802,5985
355,BK75,201803,7145
356,BK76,201601,4271
357,BK76,201602,4695
358,BK76,201603,8169
359,BK76,201604,9698
360,BK76,201605,12428
361,BK76,201606,16911
362,BK76,201607,16776
363,BK76,201608,18624
364,BK76,201609,18759
365,BK76,201610,16361
366,BK76,201611,12385
367,BK76,201612,8160
368,BK76,201701,7384
369,BK76,201702,8479
370,BK76,201703,7976
371,BK76,201704,15038
372,BK76,201705,17440
373,BK76,201706,21789
374,BK76,201707,23427
375,BK76,201708,47201
376,BK76,201709,24740
377,BK76,201710,23373
378,BK76,201711,15306
379,BK76,201712,10010
380,BK76,201801,8315
381,BK76,201802,9493
382,BK76,201803,11363
383,BK78,201601,548
384,BK78,201602,705
385,BK78,201603,1216
386,BK78,201604,1470
387,BK78,201605,1796
388,BK78,201606,2306
389,BK78,201607,2284
390,BK78,201608,2511
391,BK78,201609,2750
392,BK78,201610,2359
393,BK78,201611,1628
394,BK78,201612,946
395,BK78,201701,823
396,BK78,201702,962
397,BK78,201703,879
398,BK78,201704,1952
399,BK78,201705,2280
400,BK78,201706,3033
401,BK78,201707,3353
402,BK78,201708,7184
403,BK78,201709,3453
404,BK78,201710,3098
405,BK78,201711,1833
406,BK78,201712,1173
407,BK78,201801,869
408,BK78,201802,1062
409,BK78,201803,1179
410,BK90,201601,3145
411,BK90,201602,3324
412,BK90,201603,5428
413,BK90,201604,6326
414,BK90,201605,7455
415,BK90,201606,9663
416,BK90,201607,9214
417,BK90,201608,10317
418,BK90,201609,11133
419,BK90,201610,10038
420,BK90,201611,7157
421,BK90,201612,4637
422,BK90,201701,4022
423,BK90,201702,4432
424,BK90,201703,4573
425,BK90,201704,9454
426,BK90,201705,11707
427,BK90,201706,13583
428,BK90,201707,15323
429,BK90,201708,31352
430,BK90,201709,15314
431,BK90,201710,14491
432,BK90,201711,9437
433,BK90,201712,5796
434,BK90,201801,4908
435,BK90,201802,5382
436,BK90,201803,6772
437,BK99,201601,809
438,BK99,201602,911
439,BK99,201603,1465
440,BK99,201604,1664
441,BK99,201605,2309
442,BK99,201606,2832
443,BK99,201607,2689
444,BK99,201608,3222
445,BK99,201609,7365
446,BK99,201610,7033
447,BK99,201611,5084
448,BK99,201612,2942
449,BK99,201701,2717
450,BK99,201702,3463
451,BK99,201703,3028
452,BK99,201704,7852
453,BK99,201705,7806
454,BK99,201706,9639
455,BK99,201707,10154
456,BK99,201708,18853
457,BK99,201709,8662
458,BK99,201710,8879
459,BK99,201711,6502
460,BK99,201712,4186
461,BK99,201801,3616
462,BK99,201802,4320
463,BK99,201803,5431
464,BX28,201706,4
465,BX28,201707,1
466,BX28,201712,8
467,JC,201601,7481
468,JC,201602,8241
469,JC,201603,13508
470,JC,201604,16333
471,JC,201605,19481
472,JC,201606,23947
473,JC,201607,24428
474,JC,201608,34142
475,JC,201609,33429
476,JC,201610,29610
477,JC,201611,21838
478,JC,201612,15109
479,JC,201701,12923
480,JC,201702,14026
481,JC,201703,12194
482,JC,201704,21183
483,JC,201705,25948
484,JC,201706,32041
485,JC,201707,33565
486,JC,201708,39
487,JC,201709,32520
488,JC,201710,34924
489,JC,201711,23593
490,JC,201712,15898
491,JC,201801,12676
492,JC,201802,15099
493,JC,201803,17104
494,MN03,201709,585
495,MN03,201710,2350
496,MN03,201711,1783
497,MN03,201712,1001
498,MN03,201801,985
499,MN03,201802,1167
500,MN03,201803,1373
501,MN06,201711,164
502,MN06,201712,63
503,MN06,201801,35
504,MN06,201802,103
505,MN06,201803,138
506,MN09,201608,2685
507,MN09,201609,6302
508,MN09,201610,5986
509,MN09,201611,4005
510,MN09,201612,2319
511,MN09,201701,2054
512,MN09,201702,2617
513,MN09,201703,2211
514,MN09,201704,4993
515,MN09,201705,5761
516,MN09,201706,6659
517,MN09,201707,6772
518,MN09,201708,13647
519,MN09,201709,9720
520,MN09,201710,13166
521,MN09,201711,9675
522,MN09,201712,6160
523,MN09,201801,4671
524,MN09,201802,6382
525,MN09,201803,6958
526,MN11,201709,3005
527,MN11,201710,8645
528,MN11,201711,7279
529,MN11,201712,4632
530,MN11,201801,3747
531,MN11,201802,4866
532,MN11,201803,6061
533,MN12,201601,5268
534,MN12,201602,5859
535,MN12,201603,11571
536,MN12,201604,14424
537,MN12,201605,18755
538,MN12,201606,23547
539,MN12,201607,22143
540,MN12,201608,36199
541,MN12,201609,44441
542,MN12,201610,42044
543,MN12,201611,30189
544,MN12,201612,18530
545,MN12,201701,16171
546,MN12,201702,18322
547,MN12,201703,16205
548,MN12,201704,36461
549,MN12,201705,39740
550,MN12,201706,46937
551,MN12,201707,48057
552,MN12,201708,92434
553,MN12,201709,50247
554,MN12,201710,49390
555,MN12,201711,35719
556,MN12,201712,21962
557,MN12,201801,17616
558,MN12,201802,20422
559,MN12,201803,23658
560,MN13,201601,75088
561,MN13,201602,81270
562,MN13,201603,130225
563,MN13,201604,141314
564,MN13,201605,168934
565,MN13,201606,200807
566,MN13,201607,190251
567,MN13,201608,209607
568,MN13,201609,206190
569,MN13,201610,197386
570,MN13,201611,149475
571,MN13,201612,104953
572,MN13,201701,95365
573,MN13,201702,101538
574,MN13,201703,93022
575,MN13,201704,161251
576,MN13,201705,185035
577,MN13,201706,213355
578,MN13,201707,208617
579,MN13,201708,448186
580,MN13,201709,228213
581,MN13,201710,227795
582,MN13,201711,161384
583,MN13,201712,107876
584,MN13,201801,87859
585,MN13,201802,101429
586,MN13,201803,116679
587,MN14,201601,11162
588,MN14,201602,11684
589,MN14,201603,20203
590,MN14,201604,23865
591,MN14,201605,29115
592,MN14,201606,35721
593,MN14,201607,34234
594,MN14,201608,39361
595,MN14,201609,41303
596,MN14,201610,40454
597,MN14,201611,33730
598,MN14,201612,20931
599,MN14,201701,17602
600,MN14,201702,19060
601,MN14,201703,17496
602,MN14,201704,34387
603,MN14,201705,37755
604,MN14,201706,42075
605,MN14,201707,43467
606,MN14,201708,88442
607,MN14,201709,47770
608,MN14,201710,47399
609,MN14,201711,35515
610,MN14,201712,22495
611,MN14,201801,18703
612,MN14,201802,21467
613,MN14,201803,25329
614,MN15,201601,21938
615,MN15,201602,23658
616,MN15,201603,38406
617,MN15,201604,41825
618,MN15,201605,50750
619,MN15,201606,60128
620,MN15,201607,57999
621,MN15,201608,62775
622,MN15,201609,64614
623,MN15,201610,62482
624,MN15,201611,48365
625,MN15,201612,34340
626,MN15,201701,29469
627,MN15,201702,31085
628,MN15,201703,29582
629,MN15,201704,49514
630,MN15,201705,57576
631,MN15,201706,61559
632,MN15,201707,58835
633,MN15,201708,124369
634,MN15,201709,64594
635,MN15,201710,61643
636,MN15,201711,46893
637,MN15,201712,32774
638,MN15,201801,25689
639,MN15,201802,28164
640,MN15,201803,33099
641,MN17,201601,57130
642,MN17,201602,64130
643,MN17,201603,99589
644,MN17,201604,104550
645,MN17,201605,118142
646,MN17,201606,143039
647,MN17,201607,133879
648,MN17,201608,151517
649,MN17,201609,147045
650,MN17,201610,145876
651,MN17,201611,118563
652,MN17,201612,83685
653,MN17,201701,73593
654,MN17,201702,76335
655,MN17,201703,72886
656,MN17,201704,114719
657,MN17,201705,140053
658,MN17,201706,154089
659,MN17,201707,144107
660,MN17,201708,317348
661,MN17,201709,165736
662,MN17,201710,171737
663,MN17,201711,133363
664,MN17,201712,91741
665,MN17,201801,69209
666,MN17,201802,82659
667,MN17,201803,91286
668,MN19,201601,19794
669,MN19,201602,21841
670,MN19,201603,33645
671,MN19,201604,36346
672,MN19,201605,43643
673,MN19,201606,54194
674,MN19,201607,48352
675,MN19,201608,55858
676,MN19,201609,52890
677,MN19,201610,54813
678,MN19,201611,44003
679,MN19,201612,29745
680,MN19,201701,27775
681,MN19,201702,27798
682,MN19,201703,25616
683,MN19,201704,40430
684,MN19,201705,51079
685,MN19,201706,57164
686,MN19,201707,52260
687,MN19,201708,119138
688,MN19,201709,57051
689,MN19,201710,59311
690,MN19,201711,35987
691,MN19,201712,27091
692,MN19,201801,22847
693,MN19,201802,28101
694,MN19,201803,30321
695,MN20,201601,36056
696,MN20,201602,39432
697,MN20,201603,59197
698,MN20,201604,60809
699,MN20,201605,69900
700,MN20,201606,84635
701,MN20,201607,77629
702,MN20,201608,88166
703,MN20,201609,91416
704,MN20,201610,93328
705,MN20,201611,77071
706,MN20,201612,53706
707,MN20,201701,48860
